Date,AAPL,AMZN,BAC,CVX,GOOGL,GS,JPM,META,MSFT,NVDA,ORCL,QQQ,SPY,TSLA,XOM
2012-05-31,17.32672691345215,10.645500183105469,5.7598161697387695,56.37200927734375,14.42702865600586,74.34580993652344,22.965333938598633,29.39466667175293,23.162195205688477,0.284906268119812,21.795745849609375,55.10854721069336,103.43892669677734,1.9666670560836792,45.8503532409668
2012-06-01,16.824676513671875,10.41100025177002,5.501214981079102,55.28251266479492,14.181636810302734,71.96857452392578,22.12015724182129,27.5277099609375,22.575010299682617,0.27459192276000977,21.408735275268555,53.64335632324219,100.83467102050781,1.8766670227050781,45.436302185058594
2012-06-04,16.92364501953125,10.728500366210938,5.407175064086914,55.379981994628906,14.370647430419922,70.69457244873047,21.475873947143555,26.713401794433594,22.654356002807617,0.2688618302345276,21.573421478271484,54.05184555053711,100.7874526977539,1.858667016029358,45.383819580078125
2012-06-05,16.87986183166504,10.660499572753906,5.563904285430908,55.32838821411133,14.167478561401367,71.63452911376953,22.161718368530273,25.69054412841797,22.622617721557617,0.2766548991203308,21.993362426757812,54.273841857910156,101.55068969726562,1.8606669902801514,45.249725341796875
2012-06-06,17.13867950439453,10.881999969482422,5.9870734214782715,57.22639083862305,14.419827461242676,73.77090454101562,22.909912109375,26.624021530151367,23.289152145385742,0.2839895188808441,22.668569564819336,55.51703643798828,103.83231353759766,1.9479999542236328,46.75415802001953
2012-06-07,17.1464786529541,10.9399995803833,5.814672470092773,57.5646858215332,14.361706733703613,73.02513885498047,22.729795455932617,26.127492904663086,23.193941116333008,0.2725289762020111,22.380374908447266,55.29502487182617,103.8952865600586,1.9286669492721558,47.05154037475586
2012-06-08,17.404403686523438,10.923999786376953,5.924380779266357,57.822715759277344,14.416847229003906,73.44464874267578,23.332500457763672,26.91200828552246,23.527210235595703,0.2778007984161377,22.363903045654297,55.827816009521484,104.72140502929688,2.0053329467773438,47.13899612426758
2012-06-11,17.129989624023438,10.824999809265137,5.704960823059082,57.289451599121094,14.120039939880371,72.09290313720703,22.736722946166992,26.822635650634766,22.93208885192871,0.2810097336769104,22.075706481933594,54.88656234741211,103.3917236328125,1.9413330554962158,46.806617736816406
2012-06-12,17.27964210510254,10.821000099182129,5.8695292472839355,57.76538848876953,14.035592079162598,73.05619812011719,23.394853591918945,27.209928512573242,23.241544723510742,0.28673994541168213,22.256858825683594,55.552547454833984,104.57979583740234,1.9773329496383667,47.38392639160156
2012-06-13,17.15968132019043,10.736499786376953,5.877364158630371,57.41561508178711,13.935994148254395,72.0307846069336,23.762014389038086,27.080833435058594,23.114591598510742,0.2791760563850403,22.248624801635742,55.17070388793945,103.91104888916016,1.9846669435501099,47.01655960083008
2012-06-14,17.14078712463379,10.72249984741211,6.002747535705566,58.44200897216797,13.885327339172363,72.88531494140625,24.004493713378906,28.0937557220459,23.28122329711914,0.27573785185813904,22.158048629760742,55.37495040893555,105.01251220703125,1.9593329429626465,47.89122772216797
2012-06-15,17.218761444091797,10.917499542236328,6.190824031829834,59.823951721191406,14.0209379196167,74.31472778320312,24.267736434936523,29.80182456970215,23.820802688598633,0.2816973626613617,22.808542251586914,56.06293869018555,106.08650970458984,1.99399995803833,48.526817321777344
2012-06-18,17.568159103393555,11.133000373840332,6.081113338470459,59.32506561279297,14.178407669067383,72.7376937866211,23.983705520629883,31.192113876342773,23.677974700927734,0.28421857953071594,22.330961227416992,56.58805847167969,106.29212951660156,2.122667074203491,48.462677001953125
2012-06-19,17.617040634155273,11.201499938964844,6.355389595031738,59.66912078857422,14.443670272827148,74.8663101196289,24.51020622253418,31.688644409179688,24.360380172729492,0.3034721612930298,23.022632598876953,57.17547607421875,107.32025146484375,2.1393330097198486,49.26155471801758
2012-06-20,17.566951751708984,11.151000022888184,6.378899097442627,59.42254638671875,14.34382438659668,75.00615692138672,25.251474380493164,31.380796432495117,24.542884826660156,0.3082856237888336,23.45903205871582,57.21998977661133,107.14625549316406,2.252000093460083,49.54725646972656
2012-06-21,17.324926376342773,11.028499603271484,6.128130912780762,57.35252380371094,14.038324356079102,72.94746398925781,24.600271224975586,31.619129180908203,23.916013717651367,0.294303834438324,22.899112701416016,55.79592514038086,104.74203491210938,2.1459999084472656,47.879554748535156
2012-06-22,17.457788467407227,11.107999801635742,6.222170352935791,57.59335708618164,14.19405460357666,72.7376937866211,24.932804107666016,32.82073974609375,24.360380172729492,0.2979711592197418,23.055566787719727,56.38335037231445,105.5487289428711,2.25266695022583,47.879554748535156
2012-06-25,17.117990493774414,11.003499984741211,5.955729961395264,56.813533782958984,13.926308631896973,70.86548614501953,24.468645095825195,31.837600708007812,23.701778411865234,0.28857365250587463,22.742671966552734,55.29751968383789,103.85624694824219,2.2073330879211426,47.37224197387695
2012-06-26,17.15577507019043,11.280500411987305,5.971403121948242,57.88579177856445,14.025160789489746,70.71790313720703,24.73882484436035,32.87038803100586,23.820802688598633,0.29178255796432495,22.915590286254883,55.64463424682617,104.37822723388672,2.107332944869995,48.04865264892578
2012-06-27,17.2298526763916,11.281000137329102,6.088950157165527,58.814727783203125,14.139909744262695,72.45803833007812,25.480093002319336,32.00642395019531,23.9398193359375,0.3011800944805145,23.19554901123047,55.98283767700195,105.31935119628906,2.130666971206665,48.51515197753906
2012-06-28,17.066402435302734,11.065500259399414,6.065439701080322,59.32506561279297,14.015971183776855,72.62893676757812,24.856595993041992,31.1424617767334,23.733510971069336,0.3034721612930298,23.19554901123047,55.35982131958008,105.01885986328125,2.0940001010894775,48.456851959228516
