Date,AAPL,AMZN,BAC,COP,COST,CVX,EOG,GOOGL,GS,JNJ,JPM,KO,META,MSFT,NVDA,ORCL,PEP,PFE,PG,SLB,TSLA,UNH,V,WFC,WMT,XOM
2012-05-31,17.310531616210938,10.645500183105469,5.727437496185303,32.7084846496582,63.07366943359375,55.82587814331055,35.197669982910156,14.41688060760498,73.95660400390625,42.413917541503906,22.745805740356445,24.25345230102539,29.369525909423828,23.109453201293945,0.28489089012145996,21.66262435913086,45.011070251464844,11.778766632080078,41.74013137817383,44.371089935302734,1.9666670560836792,44.39943313598633,26.099613189697266,21.849323272705078,16.722139358520508,45.5467414855957
2012-06-01,16.80894660949707,10.41100025177002,5.470288276672363,32.1002082824707,62.41658020019531,54.74696731567383,32.493160247802734,14.171660423278809,71.59183502197266,41.97230911254883,21.908702850341797,23.72119140625,27.504159927368164,22.52359962463379,0.27457699179649353,21.277984619140625,44.785518646240234,11.654891967773438,41.24425506591797,43.54329299926758,1.8766670227050781,43.81827163696289,25.431264877319336,20.56085968017578,16.653539657592773,45.13545608520508
2012-06-04,16.907827377319336,10.728500366210938,5.376779079437256,32.169189453125,63.19778823852539,54.84347915649414,32.04300308227539,14.360539436340332,70.3244400024414,42.35274887084961,21.270586013793945,23.89969825744629,26.6905460357666,22.60276222229004,0.2688470780849457,21.441665649414062,44.76560592651367,11.638731956481934,41.14374923706055,43.6414794921875,1.858667016029358,43.714778900146484,25.863994598388672,20.485862731933594,16.765336990356445,45.083335876464844
2012-06-05,16.864078521728516,10.660499572753906,5.532628059387207,32.5266227722168,63.351112365722656,54.79240036010742,32.56405258178711,14.157512664794922,71.25958251953125,42.26446533203125,21.949871063232422,23.769872665405273,25.668569564819336,22.571104049682617,0.27663981914520264,21.859027862548828,44.447166442871094,11.63334846496582,40.989627838134766,43.66254425048828,1.8606669902801514,44.6143913269043,25.784700393676758,20.80628204345703,16.640836715698242,44.95011520385742
2012-06-06,17.122661590576172,10.881999969482422,5.953419208526611,33.598934173583984,64.0885009765625,56.67200469970703,33.6451416015625,14.409683227539062,73.38473510742188,42.66529083251953,22.690906524658203,24.214506149291992,26.601245880126953,23.23612403869629,0.2839740812778473,22.530113220214844,44.7722282409668,11.800307273864746,41.411781311035156,45.31111145019531,1.9479999542236328,45.93595504760742,26.35788917541504,21.113056182861328,16.75008773803711,46.444583892822266
2012-06-07,17.130455017089844,10.9399995803833,5.781986236572266,33.743160247802734,64.34405517578125,57.00701904296875,33.8330078125,14.351603507995605,72.6428451538086,42.66529083251953,22.512514114379883,24.107404708862305,26.105140686035156,23.14112091064453,0.2725142240524292,22.243677139282227,44.898284912109375,11.816465377807617,42.0550651550293,45.19886779785156,1.9286669492721558,45.73692321777344,26.46438217163086,21.256216049194336,16.73484230041504,46.74000930786133
2012-06-08,17.388132095336914,10.923999786376953,5.891078948974609,33.84349822998047,64.78943634033203,57.26255798339844,33.27650833129883,14.40670394897461,73.0601577758789,42.78758239746094,23.109453201293945,24.41897201538086,26.88899040222168,23.473628997802734,0.2777857184410095,22.227313995361328,45.316219329833984,11.924181938171387,42.04835510253906,45.27602767944336,2.0053329467773438,46.17477798461914,26.41225814819336,21.42664909362793,17.331884384155273,46.8268928527832
2012-06-11,17.113981246948242,10.824999809265137,5.672893047332764,33.787044525146484,64.1834487915039,56.73446273803711,32.5853157043457,14.110106468200684,71.7154769897461,42.20329666137695,22.519367218017578,24.230730056762695,26.799686431884766,22.879858016967773,0.2809945046901703,21.94087028503418,45.143733978271484,11.902641296386719,41.907657623291016,44.946327209472656,1.9413330554962158,45.744873046875,26.360158920288086,21.126691818237305,17.156578063964844,46.496707916259766
2012-06-12,17.26348876953125,10.821000099182129,5.836533069610596,34.30754470825195,64.61420440673828,57.20578384399414,33.379295349121094,14.025720596313477,72.67373657226562,42.85551452636719,23.171207427978516,24.40598487854004,27.18665313720703,23.188623428344727,0.2867244780063629,22.120927810668945,45.375919342041016,11.9511137008667,42.0550651550293,45.54962158203125,1.9773329496383667,46.047393798828125,26.543672561645508,21.338031768798828,17.20485496520996,47.070167541503906
2012-06-13,17.143634796142578,10.736499786376953,5.844326019287109,33.92499923706055,63.8329963684082,56.859378814697266,32.858245849609375,13.926192283630371,71.6536636352539,43.786258697509766,23.534870147705078,24.405988693237305,27.057668685913086,23.06194496154785,0.27916112542152405,22.11273765563965,45.47543716430664,11.9511137008667,41.92775344848633,44.86213684082031,1.9846669435501099,46.35344696044922,26.03165054321289,21.528913497924805,17.039718627929688,46.70524215698242
2012-06-14,17.124759674072266,10.72249984741211,5.969003200531006,34.28871536254883,65.5852279663086,57.8758544921875,33.48208999633789,13.87555980682373,72.50372314453125,44.46564483642578,23.775022506713867,24.749099731445312,28.06972312927246,23.22820472717285,0.2757229804992676,22.022706985473633,45.95306396484375,12.150386810302734,42.33650588989258,45.86531066894531,1.9593329429626465,47.34429168701172,26.391881942749023,21.835689544677734,17.181989669799805,47.574134826660156
2012-06-15,17.202648162841797,10.917499542236328,6.156022548675537,34.77783203125,66.76068115234375,59.244388580322266,34.25481033325195,14.01107406616211,73.92568969726562,44.84611129760742,24.035755157470703,24.863466262817383,29.776329040527344,23.76655387878418,0.2816821038722992,22.66923713684082,46.092376708984375,12.177316665649414,42.13547134399414,46.6229362487793,1.99399995803833,47.064605712890625,26.824604034423828,22.122013092041016,17.21247100830078,48.205501556396484
